USO2013,TU,month,temperature,rainfall,population,water_consumption
H3,DOMESTICO MEDIO,,39,28,43979,23.0
H3,DOMESTICO MEDIO,,33,38,24786,12.0
EQ,COMERCIAL,,26,66,11052,98.0
H3,DOMESTICO MEDIO,,32,66,20438,17.0
MX,COMERCIAL,,21,49,41870,8.0
H2,DOMESTICO MEDIO,,26,95,43071,12.0
H2,DOMESTICO MEDIO,,25,32,17295,22.0
H2,DOMESTICO BAJA,,37,82,47867,7.0
H3,DOMESTICO MEDIO,,38,89,13551,27.0
H2,DOMESTICO MEDIO,,32,84,43402,31.0
H3,DOMESTICO MEDIO,,20,64,13260,15.0
H2,DOMESTICO MEDIO,,38,91,32001,9.0
H2,DOMESTICO MEDIO,,30,22,22461,17.0
H3,DOMESTICO MEDIO,,28,29,12610,25.0
H1,DOMESTICO MEDIO,,27,73,48354,24.0
H2,DOMESTICO MEDIO,,33,78,44736,25.0
H3,DOMESTICO MEDIO,,27,66,23748,7.0
H2,DOMESTICO MEDIO,,23,14,37359,19.0
H3,DOMESTICO MEDIO,,32,80,31190,13.0
H1,DOMESTICO MEDIO,,25,45,11952,30.0
H1,DOMESTICO MEDIO,,32,70,10009,17.0
H3,DOMESTICO MEDIO,,39,98,48152,49.0
H2,DOMESTICO MEDIO,,34,40,20585,12.0
H2,DOMESTICO MEDIO,,29,50,43488,12.0
H1,DOMESTICO MEDIO,,33,16,17770,29.0
H2,DOMESTICO MEDIO,,31,44,18699,6.0
H3,SOCIAL,,25,88,44616,28.0
H2,DOMESTICO MEDIO,,39,5,24281,11.0
H2,DOMESTICO MEDIO,,31,41,22774,18.0
H3,DOMESTICO MEDIO,,38,30,43155,15.0
H3,DOMESTICO MEDIO,,38,6,42446,6.0
MX,DOMESTICO MEDIO,,35,57,21658,18.0
H2,DOMESTICO MEDIO,,32,15,40538,14.0
MX,DOMESTICO MEDIO,,26,66,36456,15.0
H2,DOMESTICO MEDIO,,38,26,31555,12.0
H3,DOMESTICO MEDIO,,31,43,11468,36.0
H3,DOMESTICO MEDIO,,26,12,17671,17.0
H3,SOCIAL,,34,1,28464,20.0
H2,DOMESTICO MEDIO,,33,53,10198,20.0
H3,DOMESTICO MEDIO,,34,29,16690,2.0
H3,SOCIAL,,22,90,23940,24.0
H1,DOMESTICO MEDIO,,32,16,22608,24.0
H2,DOMESTICO MEDIO,,38,47,24356,20.0
H3,DOMESTICO RESIDENCIAL,,33,89,12861,15.0
H3,DOMESTICO MEDIO,,37,0,19071,21.0
H3,DOMESTICO BAJA,,24,82,46117,19.0
H3,DOMESTICO RESIDENCIAL,,25,74,14079,12.0
H1,DOMESTICO MEDIO,,27,34,49097,8.0
H2,DOMESTICO MEDIO,,37,28,35645,21.0
H3,DOMESTICO MEDIO,,32,66,28082,7.0
H3,DOMESTICO RESIDENCIAL,,37,12,36967,25.0
H3,DOMESTICO RESIDENCIAL,,30,82,25517,9.0
H3,DOMESTICO MEDIO,,39,79,19123,19.0
H2,DOMESTICO MEDIO,,35,81,44349,40.0
H2,SOCIAL,,32,12,16759,7.0
H2,DOMESTICO MEDIO,,21,85,29030,20.0
H1,DOMESTICO MEDIO,,35,18,26300,15.0
H3,DOMESTICO MEDIO,,25,81,44968,18.0
H2,SOCIAL,,20,45,15652,26.0
H3,DOMESTICO MEDIO,,37,6,29973,6.0
H2,DOMESTICO MEDIO,,28,72,11036,21.0
H3,DOMESTICO MEDIO,,23,86,42553,21.0
H3,COMERCIAL,,37,6,47140,1521.0
H3,DOMESTICO RESIDENCIAL,,23,46,30759,23.0
H1,DOMESTICO MEDIO,,32,38,37380,35.0
H2,DOMESTICO MEDIO,,24,58,46762,15.0
MX,DOMESTICO MEDIO,,33,43,24241,20.0
H2,DOMESTICO MEDIO,,34,75,17828,14.0
H2,DOMESTICO MEDIO,,32,42,18000,20.0
H3,DOMESTICO MEDIO,,24,76,24439,16.0
H3,DOMESTICO MEDIO,,39,14,18576,22.0
H3,SOCIAL,,31,65,18498,22.0
H3,DOMESTICO MEDIO,,36,34,34817,1.0
H3,DOMESTICO MEDIO,,32,58,39589,1.0
H2,DOMESTICO MEDIO,,28,59,17215,11.0
H2,DOMESTICO MEDIO,,38,23,43674,29.0
H3,DOMESTICO MEDIO,,34,22,30616,15.0
H3,DOMESTICO MEDIO,,37,48,46863,12.0
H3,DOMESTICO MEDIO,,27,28,26278,13.0
H2,DOMESTICO MEDIO,,23,53,20449,25.0
MX,DOMESTICO MEDIO,,20,15,30193,10.0
H3,DOMESTICO RESIDENCIAL,,37,23,49377,15.0
H2,DOMESTICO MEDIO,,36,58,22316,21.0
MX,COMERCIAL,,37,95,41767,46.0
H2,DOMESTICO MEDIO,,36,43,15821,2.0
H2,DOMESTICO MEDIO,,39,50,35935,20.0
H3,DOMESTICO MEDIO,,31,53,31694,10.0
H3,DOMESTICO MEDIO,,29,44,26544,9.0
H3,DOMESTICO RESIDENCIAL,,24,64,10622,10.0
H3,DOMESTICO MEDIO,,23,14,29034,17.0
H3,DOMESTICO MEDIO,,28,92,10451,10.0
H2,DOMESTICO MEDIO,,35,76,32131,0.0
H3,DOMESTICO MEDIO,,34,92,43648,3.0
H3,DOMESTICO MEDIO,,25,34,38170,6.0
H1,SOCIAL,,28,31,12580,8.0
H3,DOMESTICO MEDIO,,35,86,24769,7.0
H3,COMERCIAL,,26,71,12552,20.0
H1,DOMESTICO MEDIO,,38,54,26172,24.0
H3,DOMESTICO MEDIO,,34,58,38392,30.0
H1,DOMESTICO MEDIO,,28,38,37260,51.0
H3,COMERCIAL,,28,73,49061,23.0
MX,DOMESTICO MEDIO,,29,55,25155,18.0
H3,DOMESTICO MEDIO,,22,72,34001,28.0
H3,DOMESTICO MEDIO,,36,40,11805,23.0
H3,DOMESTICO MEDIO,,39,37,45648,17.0
H3,DOMESTICO MEDIO,,28,27,27409,10.0
H3,DOMESTICO MEDIO,,20,94,29403,0.0
H3,DOMESTICO MEDIO,,30,93,25556,12.0
H3,DOMESTICO MEDIO,,32,90,29136,13.0
H2,DOMESTICO MEDIO,,20,9,34642,7.0
H3,DOMESTICO MEDIO,,22,90,43596,20.0
H3,DOMESTICO MEDIO,,31,59,35356,10.0
H2,DOMESTICO RESIDENCIAL,,35,1,10812,2.0
H3,DOMESTICO RESIDENCIAL,,27,83,49629,18.0
H2,DOMESTICO MEDIO,,20,37,10458,26.0
H2,DOMESTICO MEDIO,,37,55,35292,18.0
CU,DOMESTICO MEDIO,,22,70,29517,8.0
H1,DOMESTICO MEDIO,,33,26,42683,44.0
H2,DOMESTICO MEDIO,,32,96,49081,11.0
MX,DOMESTICO MEDIO,,27,3,39097,7.0
H2,DOMESTICO MEDIO,,33,77,30162,14.0
H3,DOMESTICO RESIDENCIAL,,27,89,28868,1.0
H3,DOMESTICO MEDIO,,21,84,24105,17.0
H3,DOMESTICO RESIDENCIAL,,26,16,48583,9.0
MX,DOMESTICO MEDIO,,28,49,14235,22.0
H2,DOMESTICO MEDIO,,24,54,17702,34.0
MX,DOMESTICO MEDIO,,33,97,23477,21.0
H3,DOMESTICO MEDIO,,27,64,24382,4.0
H3,DOMESTICO MEDIO,,23,18,11677,4.0
H3,DOMESTICO RESIDENCIAL,,23,99,35029,0.0
H1,DOMESTICO MEDIO,,28,53,49736,0.0
H3,DOMESTICO RESIDENCIAL,,27,10,44819,15.0
H3,DOMESTICO MEDIO,,25,57,37818,6.0
CU,COMERCIAL,,23,67,26746,5.0
H2,DOMESTICO MEDIO,,36,21,20388,21.0
H3,SOCIAL,,23,85,27727,14.0
H3,DOMESTICO RESIDENCIAL,,37,3,26959,1.0
H3,DOMESTICO MEDIO,,26,2,34437,10.0
H3,DOMESTICO MEDIO,,39,22,43507,0.0
H2,DOMESTICO MEDIO,,22,2,43979,7.0
H2,DOMESTICO MEDIO,,25,84,23885,20.0
H2,SOCIAL,,21,32,49502,18.0
MX,DOMESTICO MEDIO,,27,24,37187,16.0
MX,DOMESTICO MEDIO,,37,59,32691,29.0
H2,DOMESTICO MEDIO,,26,12,27279,18.0
MX,DOMESTICO MEDIO,,35,83,40638,24.0
H3,SOCIAL,,30,15,17644,20.0
MX,DOMESTICO MEDIO,,23,31,35477,56.0
H3,DOMESTICO MEDIO,,36,45,37421,30.0
H2,DOMESTICO MEDIO,,34,24,44199,9.0
H2,DOMESTICO MEDIO,,38,99,21540,27.0
H3,DOMESTICO MEDIO,,36,56,19812,17.0
H2,DOMESTICO MEDIO,,24,38,16575,16.0
H3,DOMESTICO MEDIO,,34,46,21774,21.0
H2,SOCIAL,,31,84,49755,11.0
H3,DOMESTICO RESIDENCIAL,,28,86,44687,11.0
H3,DOMESTICO MEDIO,,26,43,22494,17.0
MX,DOMESTICO MEDIO,,34,10,33002,33.0
MX,DOMESTICO MEDIO,,31,49,37139,13.0
MX,DOMESTICO MEDIO,,38,95,48703,6.0
H2,DOMESTICO MEDIO,,30,20,42359,24.0
H2,DOMESTICO MEDIO,,36,59,47063,21.0
H3,COMERCIAL,,27,29,30795,3750.0
H2,DOMESTICO MEDIO,,36,24,49550,42.0
H3,DOMESTICO MEDIO,,29,11,45450,26.0
H3,DOMESTICO MEDIO,,30,29,32558,21.0
H3,DOMESTICO MEDIO,,28,96,26321,23.0
H3,DOMESTICO MEDIO,,25,1,34244,19.0
H2,SOCIAL,,28,13,36116,29.0
H3,DOMESTICO MEDIO,,38,8,38103,27.0
H3,DOMESTICO MEDIO,,24,90,47061,5.0
H1,DOMESTICO MEDIO,,20,98,48621,23.0
H2,DOMESTICO MEDIO,,39,76,30838,16.0
H3,DOMESTICO MEDIO,,25,69,12998,24.0
H1,DOMESTICO MEDIO,,39,65,41039,22.0
H2,DOMESTICO MEDIO,,36,49,15193,22.0
H2,DOMESTICO MEDIO,,39,39,47230,15.0
H2,DOMESTICO MEDIO,,33,53,29631,2.0
H3,DOMESTICO MEDIO,,21,24,15267,24.0
H2,DOMESTICO MEDIO,,27,67,45213,45.0
MX,COMERCIAL,,29,6,27072,15.0
H3,DOMESTICO MEDIO,,33,30,30389,20.0
H2,DOMESTICO MEDIO,,39,22,29905,17.0
H2,DOMESTICO MEDIO,,31,86,28669,30.0
H3,DOMESTICO MEDIO,,38,3,28571,15.0
H3,DOMESTICO MEDIO,,29,0,12232,20.0
H3,SOCIAL,,28,50,14262,17.0
H2,DOMESTICO MEDIO,,35,46,41804,18.0
H3,DOMESTICO MEDIO,,23,10,21013,21.0
H2,DOMESTICO MEDIO,,29,67,40036,0.0
H3,DOMESTICO RESIDENCIAL,,39,63,48348,0.0
MX,DOMESTICO MEDIO,,34,73,17065,24.0
MX,COMERCIAL,,37,12,24954,0.0
H3,DOMESTICO MEDIO,,39,31,16453,18.0
MX,DOMESTICO MEDIO,,27,13,47845,14.0
H3,DOMESTICO MEDIO,,20,73,23655,7.0
H2,DOMESTICO MEDIO,,39,66,30194,20.0
H3,DOMESTICO MEDIO,,33,54,35276,11.0
H3,DOMESTICO MEDIO,,34,25,37311,11.0
MX,DOMESTICO MEDIO,,27,65,40283,0.0
H2,SOCIAL,,39,14,33117,16.0
H3,DOMESTICO MEDIO,,26,31,37937,7.0
MX,DOMESTICO MEDIO,,33,16,16010,12.0
H3,DOMESTICO MEDIO,,38,62,45684,35.0
H2,DOMESTICO MEDIO,,35,67,39689,30.0
H1,DOMESTICO MEDIO,,36,48,39344,34.0
H3,DOMESTICO BAJA,,29,82,15466,35.0
H3,DOMESTICO MEDIO,,34,41,32600,11.0
H2,DOMESTICO MEDIO,,37,55,46274,0.0
H3,DOMESTICO MEDIO,,23,69,43690,24.0
H3,DOMESTICO MEDIO,,33,13,12551,15.0
H3,DOMESTICO RESIDENCIAL,,33,98,42132,0.0
H2,DOMESTICO MEDIO,,25,33,20732,20.0
H1,SOCIAL,,24,51,11458,5.0
H3,DOMESTICO MEDIO,,29,96,24915,0.0
H2,DOMESTICO MEDIO,,29,91,21419,33.0
MX,DOMESTICO MEDIO,,33,45,37530,9.0
H2,DOMESTICO MEDIO,,21,76,18223,4.0
H3,DOMESTICO MEDIO,,21,51,28746,20.0
H3,DOMESTICO MEDIO,,34,41,44140,12.0
H1,DOMESTICO MEDIO,,31,58,15272,10.0
H3,DOMESTICO MEDIO,,36,42,11143,19.0
H2,DOMESTICO MEDIO,,29,13,34810,15.0
H2,DOMESTICO MEDIO,,29,16,20326,22.0
H2,DOMESTICO MEDIO,,26,29,29732,10.0
H1,DOMESTICO MEDIO,,32,20,45856,1.0
H2,DOMESTICO MEDIO,,33,45,49199,13.0
H2,DOMESTICO MEDIO,,23,78,17213,25.0
H2,DOMESTICO MEDIO,,22,54,39630,22.0
H2,DOMESTICO MEDIO,,26,28,30744,10.0
H2,SOCIAL,,20,68,39196,15.0
H2,DOMESTICO MEDIO,,25,90,49704,17.0
H3,DOMESTICO MEDIO,,22,43,21413,19.0
H2,DOMESTICO MEDIO,,24,94,31785,19.0
H1,DOMESTICO RESIDENCIAL,,24,49,46769,10.0
H2,COMERCIAL,,36,56,22414,0.0
H2,COMERCIAL,,38,8,31681,0.0
H3,DOMESTICO MEDIO,,20,89,26727,5.0
MX,COMERCIAL,,23,69,43622,18.0
H3,DOMESTICO MEDIO,,31,27,16947,16.0
MX,DOMESTICO MEDIO,,35,22,36665,15.0
H2,DOMESTICO RESIDENCIAL,,25,69,45574,25.0
H3,DOMESTICO MEDIO,,37,84,31306,19.0
H3,DOMESTICO MEDIO,,22,18,23535,20.0
H2,SOCIAL,,38,16,32677,18.0
H2,DOMESTICO MEDIO,,30,24,17429,36.0
H2,SOCIAL,,22,79,29618,11.0
H3,DOMESTICO RESIDENCIAL,,37,8,47452,20.0
H3,DOMESTICO MEDIO,,35,37,47339,26.0
H3,DOMESTICO RESIDENCIAL,,29,50,36126,19.0
H2,DOMESTICO MEDIO,,33,99,20189,28.0
H3,DOMESTICO MEDIO,,30,56,28038,2.0
H2,SOCIAL,,27,46,46543,29.0
H3,DOMESTICO MEDIO,,20,93,18792,17.0
H3,DOMESTICO RESIDENCIAL,,21,92,12290,25.0
H3,DOMESTICO MEDIO,,23,60,15948,18.0
MX,COMERCIAL,,23,77,17363,32.0
MX,DOMESTICO MEDIO,,30,44,27817,28.0
H2,DOMESTICO RESIDENCIAL,,36,74,33971,0.0
H2,DOMESTICO MEDIO,,36,57,46589,15.0
H2,SOCIAL,,23,21,28924,11.0
H3,DOMESTICO RESIDENCIAL,,26,97,29743,15.0
H3,DOMESTICO MEDIO,,38,59,31268,20.0
H1,DOMESTICO MEDIO,,21,5,17281,12.0
H3,DOMESTICO MEDIO,,36,95,18504,30.0
H3,COMERCIAL,,20,65,27556,3903.0
H3,SOCIAL,,22,22,32673,14.0
MX,SOCIAL,,26,68,49646,20.0
H1,SOCIAL,,33,26,24355,25.0
H3,DOMESTICO MEDIO,,32,58,49644,17.0
H3,DOMESTICO MEDIO,,22,51,30355,4.0
H2,DOMESTICO MEDIO,,33,1,41869,12.0
MX,DOMESTICO MEDIO,,31,86,29102,19.0
H3,DOMESTICO RESIDENCIAL,,31,75,20622,20.0
H3,DOMESTICO MEDIO,,31,90,17682,20.0
H2,DOMESTICO MEDIO,,32,71,25778,23.0
H3,DOMESTICO MEDIO,,30,2,41815,20.0
H3,DOMESTICO RESIDENCIAL,,37,11,18046,10.0
H3,DOMESTICO MEDIO,,38,51,44431,8.0
H2,SOCIAL,,24,22,20033,29.0
H1,SOCIAL,,29,81,47199,20.0
H3,DOMESTICO MEDIO,,35,53,21250,30.0
H2,DOMESTICO MEDIO,,21,83,44955,20.0
H3,DOMESTICO MEDIO,,22,5,44591,5.0
H2,DOMESTICO MEDIO,,32,50,15601,10.0
MX,COMERCIAL,,36,88,41616,2.0
H2,DOMESTICO MEDIO,,32,20,30037,21.0
H2,DOMESTICO MEDIO,,23,54,21494,11.0
H3,DOMESTICO MEDIO,,33,42,28049,17.0
H3,DOMESTICO RESIDENCIAL,,35,25,18576,3.0
H2,SOCIAL,,33,36,45207,11.0
H2,DOMESTICO MEDIO,,39,86,12183,43.0
H2,SOCIAL,,27,31,21837,21.0
H3,DOMESTICO RESIDENCIAL,,35,59,18941,7.0
H3,DOMESTICO MEDIO,,28,17,41531,23.0
MX,DOMESTICO MEDIO,,38,70,43103,23.0
H3,DOMESTICO MEDIO,,38,7,12696,10.0
H2,DOMESTICO MEDIO,,34,74,30193,22.0
H2,DOMESTICO MEDIO,,39,35,15361,8.0
H1,DOMESTICO MEDIO,,24,82,22817,24.0
H3,DOMESTICO MEDIO,,33,49,38655,18.0
H2,DOMESTICO MEDIO,,29,6,40731,4.0
H2,DOMESTICO MEDIO,,22,71,43018,0.0
H3,DOMESTICO MEDIO,,30,65,16925,10.0
H2,SOCIAL,,27,32,44826,24.0
H1,DOMESTICO RESIDENCIAL,,33,79,39934,14.0
H3,DOMESTICO MEDIO,,22,61,31053,3.0
H3,DOMESTICO MEDIO,,37,63,42430,6.0
H3,DOMESTICO MEDIO,,26,37,19244,13.0
CU,COMERCIAL,,23,80,15010,9.0
H3,DOMESTICO MEDIO,,32,31,41261,20.0
H2,SOCIAL,,30,65,44085,30.0
H3,DOMESTICO MEDIO,,39,31,29992,13.0
H2,SOCIAL,,23,44,14991,10.0
H1,DOMESTICO MEDIO,,37,69,43906,55.0
H3,DOMESTICO MEDIO,,24,45,30455,11.0
H3,SOCIAL,,30,87,47518,3.0
H3,DOMESTICO RESIDENCIAL,,31,46,13441,30.0
H3,DOMESTICO BAJA,,26,67,42895,13.0
H3,DOMESTICO MEDIO,,20,52,12172,17.0
H2,DOMESTICO MEDIO,,29,97,45438,24.0
CU,COMERCIAL,,29,95,35295,65.0
H1,DOMESTICO BAJA,,30,19,19627,30.0
H3,DOMESTICO RESIDENCIAL,,38,70,22520,10.0
MX,DOMESTICO MEDIO,,36,44,18747,9.0
H3,DOMESTICO MEDIO,,31,35,37151,23.0
H3,DOMESTICO RESIDENCIAL,,35,7,29414,25.0
MX,DOMESTICO MEDIO,,21,27,45069,3.0
H2,DOMESTICO RESIDENCIAL,,22,51,43042,10.0
H3,DOMESTICO MEDIO,,35,13,43649,7.0
H2,DOMESTICO RESIDENCIAL,,25,28,33042,4.0
H2,SOCIAL,,23,28,10345,17.0
MX,DOMESTICO MEDIO,,22,41,21415,10.0
H3,DOMESTICO RESIDENCIAL,,27,43,39334,10.0
H2,DOMESTICO MEDIO,,34,76,10579,20.0
H3,DOMESTICO MEDIO,,24,46,22283,16.0
H3,DOMESTICO MEDIO,,23,4,19320,26.0
H3,DOMESTICO MEDIO,,32,18,16645,25.0
H3,DOMESTICO MEDIO,,37,62,10205,18.0
MX,DOMESTICO MEDIO,,28,41,41031,15.0
H3,DOMESTICO MEDIO,,29,84,44938,12.0
H2,DOMESTICO MEDIO,,22,40,20297,24.0
H3,DOMESTICO MEDIO,,39,2,33966,30.0
H2,DOMESTICO MEDIO,,39,99,40738,22.0
MX,SOCIAL,,34,16,19873,0.0
H2,DOMESTICO MEDIO,,29,12,41543,20.0
H3,DOMESTICO MEDIO,,28,35,29358,10.0
H1,DOMESTICO RESIDENCIAL,,30,95,27672,19.0
H2,DOMESTICO MEDIO,,20,22,31054,1.0
MX,COMERCIAL,,31,80,14713,1.0
H3,DOMESTICO RESIDENCIAL,,31,45,20668,12.0
H2,DOMESTICO MEDIO,,39,5,41359,35.0
H3,DOMESTICO MEDIO,,20,97,20213,6.0
H1,DOMESTICO MEDIO,,31,16,44255,7.0
MX,DOMESTICO MEDIO,,24,32,25205,20.0
H3,DOMESTICO MEDIO,,26,42,28409,20.0
H2,DOMESTICO MEDIO,,23,48,22683,27.0
H3,DOMESTICO MEDIO,,29,63,13817,21.0
H3,DOMESTICO MEDIO,,35,83,38633,13.0
H3,DOMESTICO MEDIO,,33,45,47277,4.0
H2,DOMESTICO MEDIO,,27,3,23940,11.0
H3,DOMESTICO MEDIO,,24,94,49111,32.0
H2,DOMESTICO MEDIO,,28,1,30460,19.0
H3,DOMESTICO MEDIO,,21,1,21554,22.0
H3,DOMESTICO MEDIO,,37,32,48210,16.0
H2,DOMESTICO MEDIO,,34,21,20847,21.0
H2,DOMESTICO MEDIO,,36,83,31917,10.0
H2,SOCIAL,,25,99,13532,18.0
H2,DOMESTICO MEDIO,,25,63,45973,21.0
H2,DOMESTICO MEDIO,,33,63,34704,18.0
IRM,COMERCIAL,,31,69,43072,75.0
MX,DOMESTICO MEDIO,,24,94,13207,17.0
H2,DOMESTICO RESIDENCIAL,,34,79,17541,10.0
H3,DOMESTICO MEDIO,,31,0,39700,18.0
H2,DOMESTICO MEDIO,,34,43,19909,3.0
H2,DOMESTICO RESIDENCIAL,,26,43,26964,30.0
H3,DOMESTICO MEDIO,,32,77,27019,14.0
MX,DOMESTICO MEDIO,,24,6,30513,18.0
H2,SOCIAL,,22,95,20219,38.0
H3,DOMESTICO MEDIO,,30,34,33451,7.0
H2,DOMESTICO MEDIO,,29,40,44259,18.0
H3,DOMESTICO MEDIO,,21,70,11373,20.0
H3,DOMESTICO RESIDENCIAL,,20,16,36965,33.0
H2,DOMESTICO MEDIO,,22,43,34428,13.0
MX,DOMESTICO MEDIO,,26,39,24806,22.0
H3,DOMESTICO MEDIO,,23,7,49610,9.0
H2,DOMESTICO MEDIO,,33,17,41000,14.0
H3,DOMESTICO RESIDENCIAL,,38,31,46333,16.0
H1,DOMESTICO MEDIO,,23,47,23485,22.0
H2,DOMESTICO MEDIO,,36,3,16313,0.0
H2,DOMESTICO MEDIO,,31,83,49215,13.0
H3,DOMESTICO MEDIO,,20,91,46430,7.0
H2,DOMESTICO MEDIO,,33,83,44414,25.0
MX,DOMESTICO MEDIO,,32,25,34410,0.0
H1,SOCIAL,,38,31,39027,36.0
H2,DOMESTICO MEDIO,,21,10,41019,15.0
H1,DOMESTICO MEDIO,,39,3,10444,40.0
H1,DOMESTICO MEDIO,,27,80,31701,12.0
H3,DOMESTICO MEDIO,,26,88,45236,9.0
H3,DOMESTICO MEDIO,,24,76,34167,0.0
H3,DOMESTICO MEDIO,,35,4,36252,50.0
H3,DOMESTICO MEDIO,,31,0,25304,5.0
H3,DOMESTICO RESIDENCIAL,,22,7,48038,24.0
MX,DOMESTICO MEDIO,,25,23,20551,14.0
H3,DOMESTICO MEDIO,,20,75,27032,11.0
H2,DOMESTICO MEDIO,,36,93,18818,23.0
H3,DOMESTICO MEDIO,,36,54,45073,8.0
H3,SOCIAL,,30,42,47287,26.0
H3,DOMESTICO RESIDENCIAL,,38,70,11183,10.0
H2,DOMESTICO MEDIO,,22,6,48101,18.0
H3,DOMESTICO MEDIO,,25,97,40003,22.0
H3,DOMESTICO MEDIO,,33,96,48617,42.0
H2,DOMESTICO MEDIO,,29,63,46521,11.0
H3,DOMESTICO RESIDENCIAL,,24,1,48105,7.0
H3,DOMESTICO MEDIO,,27,73,34524,10.0
H2,DOMESTICO MEDIO,,33,33,37414,20.0
H3,DOMESTICO MEDIO,,36,50,44186,17.0
H2,SOCIAL,,37,98,49250,23.0
H3,DOMESTICO MEDIO,,24,66,16562,3.0
H2,DOMESTICO MEDIO,,38,56,18042,7.0
H3,DOMESTICO MEDIO,,28,89,21023,9.0
H3,DOMESTICO RESIDENCIAL,,30,20,14236,3.0
H2,DOMESTICO RESIDENCIAL,,39,29,26210,12.0
H3,COMERCIAL,,24,56,24176,11.0
H3,DOMESTICO MEDIO,,24,27,32992,13.0
H2,SOCIAL,,21,59,43043,15.0
H3,DOMESTICO MEDIO,,35,35,46798,12.0
H3,DOMESTICO MEDIO,,33,8,17571,15.0
H2,DOMESTICO MEDIO,,28,34,14002,17.0
H3,DOMESTICO MEDIO,,32,7,32023,22.0
H1,DOMESTICO MEDIO,,36,45,48648,24.0
H3,DOMESTICO MEDIO,,32,78,17328,13.0
MX,DOMESTICO MEDIO,,27,44,34131,37.0
H3,DOMESTICO MEDIO,,27,8,11623,10.0
H3,DOMESTICO MEDIO,,23,66,26860,23.0
H3,DOMESTICO MEDIO,,28,72,33168,18.0
H3,DOMESTICO RESIDENCIAL,,31,36,13449,15.0
H2,DOMESTICO MEDIO,,30,56,11885,24.0
H3,COMERCIAL,,32,90,32164,728.0
H3,DOMESTICO MEDIO,,26,14,15920,22.0
H3,DOMESTICO MEDIO,,39,35,44832,22.0
H3,DOMESTICO MEDIO,,28,65,41921,23.0
H2,DOMESTICO MEDIO,,28,41,40059,15.0
MX,DOMESTICO MEDIO,,23,10,29947,34.0
H3,DOMESTICO MEDIO,,39,6,20879,6.0
H3,DOMESTICO MEDIO,,37,62,32188,8.0
H1,DOMESTICO RESIDENCIAL,,32,32,13560,31.0
H2,DOMESTICO BAJA,,36,88,49051,21.0
H3,DOMESTICO MEDIO,,24,55,29692,7.0
MX,DOMESTICO MEDIO,,31,58,40712,4.0
H3,DOMESTICO MEDIO,,20,71,45590,2.0
H3,DOMESTICO RESIDENCIAL,,36,35,47301,10.0
H3,DOMESTICO MEDIO,,37,58,34405,18.0
H3,SOCIAL,,26,96,28524,8.0
H3,DOMESTICO MEDIO,,35,95,25653,6.0
H3,DOMESTICO MEDIO,,32,56,49927,4.0
H3,DOMESTICO RESIDENCIAL,,23,3,16826,30.0
H3,DOMESTICO MEDIO,,31,74,10118,11.0
CU,COMERCIAL,,30,92,28488,16.0
H3,DOMESTICO MEDIO,,31,96,18192,13.0
H2,DOMESTICO MEDIO,,33,60,26126,22.0
H3,DOMESTICO MEDIO,,31,76,21283,16.0
H2,DOMESTICO MEDIO,,38,48,25093,22.0
H2,DOMESTICO MEDIO,,39,66,17358,23.0
H3,DOMESTICO MEDIO,,39,20,25794,13.0
H3,DOMESTICO MEDIO,,31,77,19134,22.0
H2,DOMESTICO MEDIO,,33,32,17408,15.0
H3,DOMESTICO MEDIO,,39,89,34359,7.0
H3,DOMESTICO MEDIO,,24,29,11414,24.0
H3,DOMESTICO MEDIO,,33,37,43454,20.0
H3,DOMESTICO RESIDENCIAL,,23,66,13481,24.0
H1,DOMESTICO RESIDENCIAL,,25,26,19985,1.0
H3,DOMESTICO RESIDENCIAL,,28,76,39502,15.0
H1,DOMESTICO MEDIO,,24,88,12910,28.0
H2,DOMESTICO MEDIO,,35,9,46308,17.0
H3,DOMESTICO MEDIO,,31,62,12220,17.0
H2,DOMESTICO MEDIO,,34,70,34004,14.0
MX,DOMESTICO MEDIO,,31,68,18554,23.0
H2,DOMESTICO MEDIO,,36,56,27232,60.0
H3,SOCIAL,,30,20,21217,26.0
H2,SOCIAL,,23,69,42110,28.0
H2,DOMESTICO MEDIO,,34,86,17787,12.0
H3,DOMESTICO MEDIO,,37,83,13495,0.0
H2,DOMESTICO MEDIO,,24,43,14487,17.0
H2,SOCIAL,,21,98,23830,16.0
H3,DOMESTICO RESIDENCIAL,,20,48,29033,3.0
H1,DOMESTICO RESIDENCIAL,,33,78,16602,1.0
H3,DOMESTICO RESIDENCIAL,,38,72,18907,30.0
H2,SOCIAL,,34,52,30505,29.0
H3,DOMESTICO MEDIO,,31,57,22194,13.0
H3,DOMESTICO MEDIO,,37,84,48130,39.0
H3,DOMESTICO MEDIO,,31,38,49215,22.0
H3,DOMESTICO RESIDENCIAL,,21,4,14621,18.0
H2,DOMESTICO MEDIO,,35,14,26944,16.0
H2,SOCIAL,,35,53,23406,24.0
H3,DOMESTICO MEDIO,,38,57,46918,9.0
H2,DOMESTICO MEDIO,,23,39,28515,16.0
H2,DOMESTICO MEDIO,,28,44,27307,13.0
H1,SOCIAL,,37,81,32989,22.0
H2,DOMESTICO MEDIO,,34,27,31179,24.0
H3,DOMESTICO MEDIO,,37,58,49822,0.0
H3,DOMESTICO MEDIO,,20,69,32951,20.0
H3,DOMESTICO MEDIO,,27,38,45492,10.0
H3,DOMESTICO MEDIO,,23,9,19887,20.0
